,Datetime,Tweet Id,Text,Retweet Count,Followers,Likes,Username
0,2020-02-19 22:52:12+00:00,1230263846520180741,2020 Returns...Ethereum Trust $ETHE: +359%Virgin Galactic $SPCE: +223%Tesla $TSLA: +119%Enphase $ENPH: +119%Beyond Meat $BYND: +67%Bitcoin Trust $GBTC: +60%Alteryx $AYX: +53%Shopify $SHOP: +37%Microsoft $MSFT: +19%Amazon $AMZN: +17%Google $GOOGL: +14%Apple $AAPL: +11%,274,492316,947,charliebilello
1,2020-02-15 13:42:14+00:00,1228675889422110723,2020 ReturnsBitcoin: +41%$MSFT: +18%Amazon $AMZN: +16%$GOOGL: +13%Apple $AAPL: +11%Nasdaq 100 $QQQ: +10%Long-term Treasuries $TLT: +7%S&amp;P 500 $SPY: +5%Gold $GLD: +4%Bonds $AGG: +2%Small Caps $IWM: +1%China $FXI: -3%Copper $JJC: -7%Oil $USO: -15%via @charliebilello,87,487411,310,SJosephBurns
2,2020-02-15 13:34:52+00:00,1228674036466667521,2020 Returns...Tesla $TSLA: +91%Bitcoin: +41%$MSFT: +18%Amazon $AMZN: +16%$GOOGL: +13%Apple $AAPL: +11%Nasdaq 100 $QQQ: +10%Long-term Treasuries $TLT: +7%S&amp;P 500 $SPY: +5%Gold $GLD: +4%Bonds $AGG: +2%Small Caps $IWM: +1%China $FXI: -3%Copper $JJC: -7%Oil $USO: -15%,440,492316,1519,charliebilello
3,2020-02-09 02:39:09+00:00,1226334690908540928,2020 Returns...Tesla $TSLA: +79%Bitcoin: +35%Amazon $AMZN: +13%$GOOGL: +10%Apple $AAPL: +9%Nasdaq 100 $QQQ: +8%Long-term Treasuries $TLT: +7%Gold $GLD: +3%S&amp;P 500 $SPY: +3%Bonds $AGG: +2%Small Caps $IWM: -0.5%Copper $JJC: -9%Oil $USO: -17%via @charliebilello,51,487411,228,SJosephBurns
4,2020-02-03 22:09:13+00:00,1224454820309811202,Looking at @YouTube revenue breakout for the 1st time at $15.1 billion:Does not include over 2 million @YouTubeTV users (thats ~1.2 bn in revenues)over 20 million @youtubemusic / @youtube premium subs (thats ~2.4 bn in revenues)so closer to $19 bn total in 2019 $GOOGL,45,50298,154,RichLightShed
5,2020-02-03 21:48:18+00:00,1224449558416986114,"Q4 Revenue Growth, year-over-year (%)...$NFLX: +30.6%$FB: +24.7%$AMZN: +20.8%$GOOGL: +17.3%$MSFT: +13.7%$AAPL: +8.9%S&amp;P 500: +5.3%$TSLA: +2.1% https://t.co/XVyDI5xnxt",74,492316,192,charliebilello
6,2020-02-03 21:32:43+00:00,1224445637913014273,Google Revenue (Billions)...2019: 1622018: 1372017: 1112016: 902015: 752014: 662013: 562012: 462011: 382010: 292009: 242008: 222007: 172006: 112005: 6.12004: 3.2* (IPO: Aug 2004)2003: 1.52002: 0.442001: 0.092000: 0.02$GOOGL,88,492316,276,charliebilello
7,2020-02-03 21:08:42+00:00,1224439590473191426,$GOOGL https://t.co/XCBt6O3XGw,13,308521,180,RampCapitalLLC
8,2020-02-01 13:53:49+00:00,1223605374160379905,#earnings https://t.co/lObOE0dgsr $DIS $GOOGL $SNAP $TWTR $ABBV $F $QCOM $UBER $SYY $SPOT $ON $PINS $TWLO $BMY $CMG $IRBT $CHKP $MRK $CNC $SNE $SIRI $GM $GILD $PTON $BP $ABG $LITE $WYNN $ATVI $CTLT $NSSC $ACM $GOOS $SAIA $DSPG $RACE $RCL $COP $AMG $RL $PLUS $NXPI $MCK $CI https://t.co/PF1H89YTnh,268,391859,495,eWhispers
9,2020-01-31 22:40:20+00:00,1223375489437437952,January...Tesla $TSLA: +56%Bitcoin: +28%Amazon $AMZN: +9%$MSFT: +8%Long-term Treasuries $TLT: +8%Volatility $VXX: +7%$GOOGL: +7%Apple $AAPL: +5%Gold $GLD: +4.5%Nasdaq 100 $QQQ: +3%Bonds $AGG: +2%S&amp;P 500 $SPY: -0.04%Small Caps $IWM: -3%China $FXI: -9%Oil $USO: -15%,407,492316,1230,charliebilello
10,2020-01-31 22:19:24+00:00,1223370220288512000,End of January top holdings:$AMZN 7.8% of  portfolio$SWKS 7.1%$MA 6.9%$MSFT 6.5%$GOOGL 6.5%$FB 6.4%$PYPL 6.3%$DIS 4.7%$SQ 3.9%$ADBE 3.9%$GPN 3.2%$PAYC 3.1%$SHOP 3.0%$HD 2.9%$EA 2.6%,55,31114,410,Matt_Cochrane7
11,2020-01-30 21:19:13+00:00,1222992687520976898,"For the first time ever, there are 4 trillion-dollar companies in the US: Apple, Microsoft, Google, and Amazon.$AAPL $MSFT $GOOGL $AMZN https://t.co/e7FPXJVvFN",590,492316,1227,charliebilello
12,2020-01-29 20:49:08+00:00,1222622730543083523,* GOOGLE - CONFIRMS THAT IS TEMPORARILY SHUTTING DOWN ALL CHINA OFFICES DUE TO CORONAVIRUS OUTBREAK (via @reuters) $GOOGL,174,392498,284,carlquintanilla
